date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2008-12-30,31.8674,25.7172,21.05,17.0336,17.1825,6.4797,4.0479,7.6543,31.2432,41.8701
2008-12-31,32.4853,26.0027,21.29,17.1233,18.5375,6.5787,4.1781,7.7439,32.2406,42.1411
2009-01-02,32.9583,26.7005,23.02,17.2876,19.2025,6.6552,4.2461,8.1741,32.1298,43.3495
2009-01-05,32.5143,26.8195,23.13,17.056,19.1194,6.7541,4.2263,7.8425,32.6562,42.8441
2009-01-06,32.5625,26.4864,24.22,17.0523,20.0587,6.9183,4.365,7.3316,32.4161,43.3495
2009-01-07,31.2689,26.7878,24.23,16.4509,19.4436,6.8598,4.331,8.1383,31.7881,42.5292
2009-01-08,31.3751,26.5182,24.29,16.858,19.9423,6.8778,4.372,8.2996,31.2986,42.9027
2009-01-09,30.68,26.7481,24.01,16.3388,19.2357,6.7406,4.3041,8.2996,30.3935,42.2875
2009-01-12,29.7629,26.193,23.76,15.5208,18.5458,6.6484,4.2786,8.1562,28.9713,41.8042
2009-01-13,30.0429,27.0177,22.1,15.0053,18.6206,6.5202,4.4626,8.21,28.6296,41.1963
2009-01-14,29.0871,25.7251,21.11,14.3067,18.2798,6.2413,4.239,8.1203,27.0319,40.3101
2009-01-15,29.5312,25.8917,20.83,14.4375,18.9032,6.2998,4.4739,8.21,27.6137,40.4053
2009-01-16,30.6221,25.9155,21.06,14.8671,18.8118,6.7001,4.5645,8.5775,28.1517,41.3208
2009-01-20,29.1161,25.2811,19.39,12.5324,17.5732,6.3425,4.3763,8.1024,26.0275,39.4898
2009-01-21,30.3904,26.1534,20.96,13.5484,18.579,5.8747,4.3168,8.5506,26.816,39.7242
2009-01-22,31.5778,25.1066,19.32,13.5484,18.338,5.8972,4.4343,8.3892,25.8327,39.5924
2009-01-23,31.7033,24.8846,19.7,9.1481,18.6289,5.9737,4.1597,8.3982,26.0832,38.7428
2009-01-26,31.6358,25.3921,19.93,7.3289,18.7037,5.877,4.2277,8.3803,26.1945,39.2262
2009-01-27,31.8868,25.6776,20.11,8.2703,17.6729,5.6588,4.1852,8.434,26.547,39.5411
2009-01-28,33.2093,26.304,20.89,9.361,19.1194,5.9849,4.2631,8.443,27.1777,40.5884
2009-01-29,32.215,25.511,20.05,8.7185,18.7037,6.1986,4.0551,8.0666,25.6936,41.416
2009-01-30,31.5971,25.0273,19.31,8.67,18.4959,5.9287,3.9141,7.8515,24.9237,39.3946
2009-02-02,31.8964,25.2256,19.58,8.6027,18.2715,6.0771,3.9098,8.0307,24.6176,37.073
2009-02-03,32.7556,26.0741,19.7,8.4533,18.9282,5.9782,3.9483,8.2189,24.6547,37.82
2009-02-04,32.2246,26.2565,19.88,7.8631,19.2773,5.8994,3.9226,8.5237,25.4061,37.2341
2009-02-05,31.8095,25.86,20.91,8.6326,19.8675,6.2121,3.9853,8.7209,25.74,37.7541
2009-02-06,32.466,26.2644,21.7,8.1433,20.333,6.5045,4.1206,8.927,26.5377,38.3693
2009-02-09,33.0645,26.1692,21.42,8.8493,20.2582,6.4595,4.0352,8.8195,26.3522,39.629
2009-02-10,31.8095,25.3842,20.48,8.2665,19.2274,6.2953,3.8671,8.6223,24.7475,37.4099
2009-02-11,31.6261,25.289,20.31,8.345,19.3438,6.0884,3.8286,8.4968,24.5713,37.5637
2009-02-12,31.8578,24.948,21.22,8.2516,19.5682,6.5112,3.8956,8.2996,24.5063,36.5969
2009-02-13,31.684,24.5436,21.1,7.766,19.0778,6.4347,3.9241,8.694,24.1539,36.1941
2009-02-17,31.0276,24.0519,20.4,6.6793,17.8974,6.6304,3.7403,8.4251,23.5138,34.7294
2009-02-18,31.5006,24.5911,20.39,6.88,17.4568,6.1064,3.6947,8.5954,22.577,34.8978
2009-02-19,35.7193,24.4325,19.54,6.1795,17.1991,5.9399,3.595,8.4072,22.2338,34.846
2009-02-20,35.6325,23.7744,18.04,6.4407,16.7918,5.4586,3.5722,8.4251,21.8071,34.9793
2009-02-23,35.2077,22.91,17.09,5.9826,15.6031,5.3709,3.6321,8.452,20.963,33.6171
2009-02-24,36.2793,23.2272,18.17,6.3006,16.559,5.3889,3.8315,9.0525,21.9555,35.0903
2009-02-25,36.202,23.5047,17.64,6.0999,15.894,5.0088,3.7332,8.8643,21.334,34.5055
2009-02-26,36.231,22.9813,16.7,7.1791,15.5781,5.1685,3.662,8.918,21.0001,34.2982
2009-02-27,36.9261,23.1479,16.7,6.3461,16.0852,4.9278,3.6363,8.9897,21.2598,33.6541
2009-03-02,35.0532,22.0773,16.04,6.0621,15.2207,4.6309,3.4284,8.8732,20.4807,31.7145
2009-03-03,36.9937,22.0456,15.98,5.3692,14.5058,4.1384,3.3999,8.8463,20.592,31.9218
2009-03-04,36.2407,22.3469,16.32,5.6759,14.298,4.0889,3.4384,9.0256,21.5845,33.1803
2009-03-05,35.9028,21.9822,16.92,5.1609,13.1425,3.3287,3.2019,8.9987,20.156,31.4702
2009-03-06,35.1691,22.2042,17.16,5.089,13.4417,3.3917,3.1948,9.2586,19.312,30.9668
2009-03-09,34.7636,21.4826,16.78,4.3506,13.3752,3.1353,3.0324,9.1242,18.7647,31.1445
2009-03-10,36.955,22.4104,18.52,5.0057,14.2481,3.2725,3.1264,9.3751,20.1004,33.6763
2009-03-11,38.0363,22.9338,18.63,5.1571,14.7427,3.5559,3.068,9.3393,20.2952,34.6461
2009-03-12,38.4804,23.8299,19.43,5.6494,15.0692,3.7605,3.1449,8.9539,20.8703,35.5345
2009-03-13,38.3548,23.8854,18.68,5.5206,15.245,3.882,3.135,8.8553,21.1578,35.5345
2009-03-16,37.5246,23.7744,18.45,5.6721,15.2785,3.6953,3.0695,8.4968,20.9259,35.1421
2009-03-17,38.1714,24.1709,19.13,6.1151,16.2915,4.1159,3.2959,8.5775,21.5752,36.0971
2009-03-18,39.6195,24.5436,21.35,7.9667,17.07,4.0642,3.4982,8.676,21.2784,36.4229
2009-03-19,39.6388,24.2105,21.24,7.5199,17.0952,3.7853,3.417,8.8732,21.1393,35.1421
2009-03-20,38.6252,23.9488,20.46,6.9595,16.8105,3.7111,3.3187,8.9539,19.9149,34.0021
2009-03-23,39.243,25.1542,22.69,8.2128,18.4012,3.954,3.6249,9.3662,21.9741,36.5117
2009-03-24,37.7949,24.7577,21.82,8.1787,18.3844,3.7853,3.5195,9.1511,21.4546,35.727
2009-03-25,38.6734,25.067,22.1,7.5312,18.3677,3.8842,3.6079,9.1959,22.2616,36.2896
2009-03-26,40.7908,25.3445,22.94,7.8455,18.9621,4.1946,3.7446,9.7874,22.8738,37.7776
2009-03-27,40.4137,21.9346,21.84,7.5009,18.2672,4.0642,3.6349,9.5544,21.8999,37.2594
2009-03-30,40.259,22.0694,20.82,6.6641,17.8654,3.7673,3.5295,9.169,20.7311,36.0157
2009-03-31,39.7176,21.7998,21.39,7.3305,18.2253,3.9517,3.5865,9.3751,20.9074,36.8078
2009-04-01,40.6941,21.9266,21.96,7.0996,18.7946,4.0642,3.5851,9.402,21.0465,37.4963
2009-04-02,38.4511,21.9822,23.28,7.8038,20.0504,4.5162,3.736,9.7785,21.0094,38.5919
2009-04-03,39.1665,22.2359,24.16,7.9704,20.8206,4.4488,3.7603,9.9577,21.5659,38.5771
2009-04-06,38.9635,22.3866,23.19,7.8228,20.7118,4.5342,3.7574,9.7068,21.2042,38.5549
2009-04-07,38.1803,21.8791,22.96,7.6372,19.8913,4.2981,3.6791,9.3393,20.0355,37.6073
2009-04-08,39.3309,21.7601,23.92,7.9099,20.628,4.4308,3.8087,9.411,19.9798,38.0367
2009-04-09,40.8875,21.9742,24.87,9.4472,21.6075,4.9346,4.142,9.5813,20.9352,39.3322
2009-04-13,39.853,22.1249,24.72,9.7539,21.7164,4.8536,4.0551,9.5454,20.9166,39.4951
2009-04-14,39.2729,22.0456,24.01,9.0496,22.0094,4.4668,3.9924,9.0256,21.9833,39.1916
2009-04-15,40.6748,21.7205,23.64,9.5077,21.2392,4.6287,4.0352,8.9897,22.9202,39.7764
2009-04-16,42.096,21.8077,24.38,10.1136,22.2271,4.5567,4.2915,9.0794,23.7967,40.5389
2009-04-17,41.9027,21.5064,24.7,10.8671,22.2019,4.4533,4.1918,9.4737,24.3469,39.8356
2009-04-20,40.4331,21.4191,23.46,9.4547,20.7034,4.2126,3.9825,8.9808,23.3398,38.4735
2009-04-21,41.1969,21.1495,23.75,11.0678,21.3062,4.4555,4.1904,9.16,23.3118,39.4507
2009-04-22,42.1734,21.2447,24.16,10.4733,21.348,4.4578,4.1833,9.0166,23.834,39.2804
2009-04-23,42.6761,21.8632,24.48,10.8519,21.5573,3.909,4.387,8.9629,23.3864,40.1318
2009-04-24,41.2162,23.2113,26.42,10.8368,22.7712,4.0079,4.471,9.3214,25.2327,42.1972
2009-04-27,41.0615,23.0131,26.14,10.621,22.6038,3.7223,4.2659,9.4469,25.0835,42.4563
2009-04-28,42.038,22.9258,25.7,10.443,21.6075,3.7156,4.273,9.1869,25.3353,41.8641
2009-04-29,41.1872,23.4492,26.75,11.0299,22.0512,3.8415,4.4379,9.6171,26.9671,42.5822
2009-04-30,42.2991,23.3382,27.35,10.939,22.4531,3.774,4.4565,9.653,26.7993,42.6414
2009-05-01,41.0228,23.6792,27.46,11.1018,22.5368,3.882,4.4465,9.7157,27.2189,42.8487
2009-05-04,42.3281,24.1867,26.69,11.4502,23.8009,4.1136,4.5683,9.904,29.0652,43.2929
2009-05-05,40.6651,24.1233,26.89,11.6698,23.4158,4.2014,4.4823,9.8323,28.2446,43.2558
